Friday Night Funkin.wav
62800
9800 0 0
11000 0 3
12200 0 1
13400 0 2

14600 0 0
14600 0 1
15800 0 2
15800 0 3
17000 0 0
17000 0 1
18200 0 2
18200 0 3
18500 0 2
18500 0 3
18650 0 2
18650 0 3
18800 0 0
18800 0 1
18950 0 0
18950 0 1
19100 300 2

20600 1200 1
23000 4800 0
23000 4800 3

24200 0 1
24200 0 2
25400 1200 1
25400 1200 2

29000 1200 0

31400 7200 1
31400 7200 2
32600 0 3

33800 1200 0
35000 1200 3
36200 1200 0
37400 0 3
37700 0 3
37850 0 3
38000 0 0
38150 0 0

38600 1200 0
39200 600 3
41000 1200 0
41000 1200 1
41600 600 2
42200 0 3

43400 600 0
44000 0 1
44000 0 2
44000 600 3
44600 0 2
44600 0 1
44600 600 0

45800 600 2
46400 600 1
46400 0 0
46400 0 3
47000 600 2
47000 0 0
47000 0 3

48200 4200 0
48200 300 1
48800 300 2
50000 0 3

50600 0 1
50600 0 3
50900 0 2
50900 0 3
51200 0 1
51200 0 2
51500 0 1
51500 0 2
51500 0 3

53200 600 3
53200 0 2
53800 0 2
54400 600 0
54400 0 1
55000 0 1
55600 600 1
55600 600 2
55600 0 0
55600 0 3
56200 0 0
56200 0 3
56800 600 0
56800 600 3
56800 0 1
56800 0 2
57400 0 1
57400 0 2

58000 0 0
58000 0 1
58000 0 2
58000 0 3
